Ticker,Name,Exchange,Price,Price_currency,Shares,Reporting_Currency,Fx_rate,Dividend,Buyback,Last_fy,TotalAssets,CurrentAssets,CurrentLiabilities,CurrentDebtAndCapitalLeaseObligation,CurrentCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermCapitalLeaseObligation,TotalEquityGrossMinorityInterest,MinorityInterest,CashAndCashEquivalents,OtherShortTermInvestments,InvestmentProperties,LongTermEquityInvestment,InvestmentinFinancialAssets,NetPPE,TotalRevenue,Avg_sales_growth,CostOfRevenue,GrossMargin,Avg_Gross_margin,SellingGeneralAndAdministration,EBIT,EbitMargin,Avg_ebit_margin,Avg_ebit_growth,InterestExpense,NetIncomeCommonStockholders,NetMargin,Avg_net_margin,Avg_NetIncome_growth,Years_of_data
0001.HK,CKH HOLDINGS,HKG,48.8,HKD,3830040064,HKD,1,2.51355073,0.323495311,1.64091E+12,1.13777E+12,1.90655E+11,1.51498E+11,61299000000,13689000000,2.98302E+11,57707000000,6.37117E+11,0,1.12315E+11,0,408000000,2.95726E+11,13035000000,1.81082E+11,2.80847E+11,-2.74,1.30414E+11,46.44,46.48333333,30932000000,1.19501E+11,42.55,44.22666667,-6.75,10214000000,33484000000,11.92,12.06,-5.97,3
0002.HK,CLP HOLDINGS,HKG,57.4,HKD,2526449920,HKD,1,3.100002077,0,1.64091E+12,2.60522E+11,63367000000,64346000000,13949000000,222000000,48857000000,0,1.20046E+11,0,3660000000,0,943000000,17559000000,0,1.4502E+11,83959000000,-0.81,57333000000,68.29,67.30666667,0,26626000000,31.71,32.69333333,0.02,1383000000,8491000000,10.11,9.976666667,60.06,3
0003.HK,HK & CHINA GAS,HKG,7.65,HKD,18659899392,HKD,1,0,0,1.64091E+12,1.64968E+11,24156500000,35134800000,16810100000,116200000,41478000000,0,78129900000,0,10166100000,72700000,849000000,47226300000,6914900000,71430700000,53563700000,15.81,32591800000,60.85,56.08,0,20971900000,39.15,43.92,5.67,1408200000,5017000000,9.37,13.73333333,-15.12,3
0004.HK,WHARF HOLDINGS,HKG,22.5,HKD,3056029952,HKD,1,0,0,1.64091E+12,2.42629E+11,65374000000,38822000000,3035000000,0,26246000000,0,1.6195E+11,0,18404000000,0,74799000000,34020000000,0,12347000000,22378000000,15.51,11064000000,49.44,41.13,2024000000,9290000000,41.51,49.56333333,8.19,316000000,6019000000,26.9,21.79,34.94,3
0005.HK,HSBC HOLDINGS,HKG,53.15,HKD,19968299008,USD,7.810095238,0.319656672,0.277589994,1.64091E+12,2.99197E+12,0,0,0,0,87527000000,0,1.85993E+11,0,3.09505E+11,0,0,0,0,0,63644000000,-5.02,0,0,0,11592000000,52052000000,81.79,81.53333333,-4.34,9699000000,12607000000,19.81,11.47666667,94.36,3
0006.HK,POWER ASSETS,HKG,42.75,HKD,2131110016,HKD,1,0,0,1.64091E+12,94778000000,5004000000,4277000000,2000000,2000000,3359000000,3000000,86760000000,0,4094000000,0,0,86858000000,1100000000,19000000,1276000000,-2.66,0,0,0,0,1276000000,100,100,-2.66,125000000,6140000000,481.19,497.6766667,-6.94,3
0008.HK,PCCW,HKG,3.63,HKD,7739639808,HKD,1,0.337741816,0,1.64091E+12,93254000000,18595000000,22635000000,5088000000,1123000000,46977000000,1143000000,12401000000,0,2194000000,471000000,0,1984000000,3520000000,28870000000,38654000000,1.5,21269000000,55.02,53.09333333,4327000000,13058000000,33.78,34.33,-1.46,1391000000,1039000000,2.69,0.606666667,-225.82,3
0010.HK,HANG LUNG GROUP,HKG,14.24,HKD,1362000000,HKD,1,0.839941263,0,1.64091E+12,2.30026E+11,20274000000,13627000000,3619000000,29000000,41593000000,285000000,1.59346E+11,0,5401000000,0,2.03417E+11,4553000000,0,270000000,10919000000,7.79,3112000000,28.5,27.72333333,618000000,7189000000,65.84,66.23666667,7.23,430000000,2589000000,23.71,26.59,-195.31,3
0011.HK,HANG SENG BANK,HKG,131.3,HKD,1911840000,HKD,1,6.099882835,0,1.64091E+12,1.84691E+12,0,0,0,0,29144000000,0,1.8257E+11,0,92610000000,0,0,2263000000,0,30002000000,49580000000,-11.49,0,0,0,378000000,49202000000,99.24,99.29666667,-11.53,4685000000,13960000000,28.16,32.69333333,-24.58,3
0012.HK,HENDERSON LAND,HKG,28.15,HKD,4840999936,HKD,1,1.800247907,0,1.64091E+12,5.44928E+11,1.33067E+11,63302000000,30942000000,321000000,65606000000,603000000,3.47104E+11,0,13409000000,455000000,2.59092E+11,1.36496E+11,8840000000,5443000000,23527000000,-1.26,11445000000,48.65,44.84666667,3219000000,8863000000,37.67,42.07,0.33,495000000,13195000000,56.08,55.69666667,-5.28,3
0013.HK,HUTCHMED,HKG,28.3,HKD,864774976,USD,7.810095238,0,0.031579313,1.64091E+12,1194333000,1022237000,321856000,0,0,418000,0,851849000,0,467502000,358698000,0,82999000,0,44059000,356128000,33.74,258234000,72.51,77.78666667,127125000,-29231000,-8.21,-7.27,100.31,592000,-194648000,-54.66,-53.85333333,36.7,3
0014.HK,HYSAN DEV,HKG,25.9,HKD,1027009984,HKD,1,1.457629452,0.142160254,1.64091E+12,1.21169E+11,7285000000,4101000000,2553000000,0,24571000000,0,85947000000,0,663000000,6089000000,98740000000,6392000000,3476000000,539000000,3608000000,-4.86,499000000,13.83,13.49333333,274000000,2835000000,78.58,79.32,-5.61,348000000,1383000000,38.33,30.39,-153.43,3
0016.HK,SHK PPT,HKG,109.2,HKD,2897999872,HKD,1,4.949620647,0.008971705,1.65655E+12,8.07567E+11,2.4965E+11,62376000000,16672000000,815000000,1.101E+11,1026000000,6.06744E+11,0,20323000000,698000000,3.98729E+11,1.01392E+11,3030000000,44955000000,77747000000,-2.92,37906000000,48.76,48.175,7080000000,32761000000,42.14,42.7325,-3.77,2116000000,25560000000,32.88,36.3225,-12.8,4
0017.HK,NEW WORLD DEV,HKG,22.95,HKD,2516600064,HKD,1,0,0.384169107,1.65655E+12,6.35884E+11,1.93168E+11,1.72813E+11,51508100000,1285200000,1.47556E+11,4517300000,2.88099E+11,0,57715600000,14333300000,2.34531E+11,64938300000,57817800000,24389200000,68212700000,-2.51,49967000000,73.25,69.7,9302900000,8942800000,13.11,16.9675,-17.64,2609300000,1249200000,1.83,7.2675,-26.82,4
0018.HK,ORIENTAL E H,HKG,0.59,HKD,2397920000,HKD,1,0,0,1.64868E+12,1924173000,1181958000,110963000,7392000,0,0,0,1751411000,0,728133000,0,288676000,0,8820000,432643000,735782000,-6.18,71499000,9.72,13.15,0,664283000,90.28,86.85,-3.26,276000,166744000,22.66,15.1375,-719.06,4
0019.HK,SWIRE PACIFIC A,HKG,66.3,HKD,865822976,HKD,1,0,0,1.64091E+12,4.28341E+11,40370000000,38551000000,9760000000,771000000,52807000000,4288000000,3.21941E+11,0,13597000000,0,2.7175E+11,54258000000,2271000000,28954000000,90802000000,3.45,55524000000,61.15,62.08333333,23504000000,11774000000,12.97,12.22333333,7.54,1738000000,3364000000,3.7,0.16,-176.35,3
0020.HK,SENSETIME-W,HKG,2.2,HKD,25948798976,CNY,1.138260809,0,0,1.64091E+12,36666655000,21398212000,2872082000,480785000,199381000,968377000,186180000,31102836000,0,10373626000,4518791000,0,24105000,6805668000,3943178000,4700263000,25.13,1422625000,30.27,34.3,2979946000,297692000,6.33,10.58,-20.77,33758000,-17140086000,-364.66,-293.8066667,92.99,3
